"82371AB","U","chipset:82371AB","Intel PIIX4 Southbridge","https://datasheet.datasheetarchive.com/originals/library/Datasheets-UEA1/DSAFRAZ0011694.pdf"
,,,,
"pin","type","name","side","hidden"
"B10","Tri-state","AD0","left",
"A10","Tri-state","AD1","left",
"D7","Tri-state","AD10","left",
"C7","Tri-state","AD11","left",
"B7","Tri-state","AD12","left",
"A7","Tri-state","AD13","left",
"D6","Tri-state","AD14","left",
"E6","Tri-state","AD15","left",
"E4","Tri-state","AD16","left",
"C4","Tri-state","AD17","left",
"B4","Tri-state","AD18","left",
"A4","Tri-state","AD19","left",
"D9","Tri-state","AD2","left",
"D3","Tri-state","AD20","left",
"E3","Tri-state","AD21","left",
"C3","Tri-state","AD22","left",
"B3","Tri-state","AD23","left",
"E2","Tri-state","AD24","left",
"C2","Tri-state","AD25","left",
"B2","Tri-state","AD26","left",
"A2","Tri-state","AD27","left",
"D1","Tri-state","AD28","left",
"E1","Tri-state","AD29","left",
"C9","Tri-state","AD3","left",
"C1","Tri-state","AD30","left",
"B1","Tri-state","AD31","left",
"B9","Tri-state","AD4","left",
"A9","Tri-state","AD5","left",
"D8","Tri-state","AD6","left",
"E8","Tri-state","AD7","left",
"B8","Tri-state","AD8","left",
"A8","Tri-state","AD9","left",
"J17","output","~{APICACK}/GPO12","right",
"H18","output","~{APICCS}/GPO13","right",
"K18","input","~{APICREQ}/GPI5","right",
"Y4","output","AEN","right",
"P1","Open-collector","A20GATE","right",
"M20","Open-collector","~{A20M}","right",
"U10","output","BALE","right",
"U19","input","~{BATLOW}/GPI9","left",
"M2","output","~{BIOSCS}","right",
"C8","Tri-state","~{C/BE0}","left",
"C6","Tri-state","~{C/BE1}","left",
"D4","Tri-state","~{C/BE2}","left",
"D2","Tri-state","~{C/BE3}","left",
"L3","input","CLK48","left",
"C10","Tri-state","~{CLKRUN}","left",
"R17","input","CONFIG1","left",
"R18","input","CONFIG2","left",
"M19","Open-collector","CPURST","left",
"R1","output","~{CPU_STP}","right",
"U14","output","~{DACK0}","left",
"W6","output","~{DACK1}","left",
"Y10","output","~{DACK2}","left",
"V5","output","~{DACK3}","left",
"T15","output","~{DACK5}","left",
"V16","output","~{DACK6}","left",
"W17","output","~{DACK7}","left",
"E5","Tri-state","~{DEVSEL}","left",
"W15","input","DREQ0","left",
"U6","input","DREQ1","left",
"V2","input","DREQ2","left",
"U5","input","DREQ3","left",
"Y16","input","DREQ5","left",
"U16","input","DREQ6","left",
"U17","input","DREQ7","left",
"V20","input","~{EXTSMI}","left",
"K19","input","~{FERR}","right",
"A5","Tri-state","~{FRAME}","left",
"N1","output","~{GNTA}","left",
"P2","output","~{GNTB}","left",
"P4","output","~{GNTC}","left",
"P19","input","GPI1","right",
"L2","input","GPI13","right",
"J3","input","GPI14","right",
"L5","input","GPI15","right",
"K3","input","GPI16","right",
"K4","input","GPI17","right",
"H1","input","GPI18","right",
"H4","input","GPI19","right",
"H5","input","GPI20","right",
"G3","input","GPI21","right",
"G4","output","GPO0","right",
"T19","output","GPO8","right",
"G5","output","GPO27","right",
"F2","output","GPO28","right",
"F3","output","GPO29","right",
"F4","output","GPO30","right",
"A3","input","IDSEL","left",
"L17","Open-collector","~{IGNNE}","right",
"L18","Open-collector","INIT","left",
"L19","Open-collector","INTR","left",
"Y1","input","IOCHK}/GPI0","right",
"T3","Tri-state","IOCHRDY","right",
"V12","input","~{IOCS16}","right",
"Y5","Tri-state","~{IOR}","right",
"T4","Tri-state","~{IOW}","right",
"B5","Tri-state","~{IRDY}","left",
"H20","output","IRQ0/GPO14","left",
"J20","input","IRQ1","left",
"T9","input","IRQ3","left",
"W9","input","IRQ4","left",
"U8","input","IRQ5","left",
"V8","input","IRQ6","left",
"Y8","input","IRQ7","left",
"Y20","Tri-state","~{IRQ8}/GPI6","left",
"U1","output","IRQ9OUT/GP029","left",
"U12","input","IRQ10","right",
"W13","input","IRQ11","left",
"T13","input","IRQ12/M","left",
"V14","input","IRQ14","left",
"Y14","input","IRQ15","left",
"K1","output","~{KBCCS}/GP026","right",
"Y15","output","LA17","right",
"T14","output","LA18","right",
"W14","output","LA19","right",
"U13","output","LA20","right",
"V13","output","LA21","right",
"Y13","output","LA22","right",
"T12","output","LA23","right",
"P16","input","LID/GPI10","left",
"N4","output","~{MCCS}","right",
"Y12","Tri-state","~{MEMCS16}","right",
"V15","Tri-state","~{MEMR}","right",
"U15","Tri-state","~{MEMW}","right",
"L20","Open-collector","NMI","left",
"J1","input","~{OC0}","left",
"J2","input","~{OC1}","left",
"V11","input","OSC","left",
"B6","output","PAR","left",
"D11","input","PCICLK","left",
"E10","input","~{PCIREQA}","left",
"A11","input","~{PCIREQB}","left",
"B11","input","~{PCIREQC}","left",
"C11","input","~{PCIREQD}","left",
"A1","output","~{PCIRST}","left",
"R2","output","~{PCI_STP}","left",
"L4","output","~{PCS0}","right",
"N5","output","~{PCS1}","right",
"G16","output","PDA0","right",
"G18","output","PDA1","right",
"G17","output","PDA2","right",
"H17","output","~{PDCS1}","right",
"H16","output","~{PDCS3}","right",
"F20","Tri-state","PDD0","right",
"E18","Tri-state","PDD1","right",
"C19","Tri-state","PDD10","right",
"D19","Tri-state","PDD11","right",
"D17","Tri-state","PDD12","right",
"E19","Tri-state","PDD13","right",
"E17","Tri-state","PDD14","right",
"F19","Tri-state","PDD15","right",
"E20","Tri-state","PDD2","right",
"D18","Tri-state","PDD3","right",
