85C471_Multipart,U,,SiS 471 Chipset,
,,,,
pin,type,name,side,hidden
1,input,14MHZ,left,
2,output,BALE,left,
3,output,~{HDEN},left,
4,output,~{LDEN},left,
5,output,BDIR,left,
6,output,SDIR,left,
7,output,~{ASRTC},left,
8,output,~{DRRTC},left,
9,output,~{DWRTC},left,
10,power_in,VDD,left,
11,tristate,XD0,left,
12,tristate,XD1,left,
13,tristate,XD2,left,
14,tristate,XD3,left,
15,gnd,VSS,left,
16,tristate,XD4,left,
17,tristate,XD5,left,
18,tristate,XD6,left,
19,tristate,XD7,left,
20,gnd,VSS,left,
21,tristate,PD0,left,
22,tristate,PD2,left,
23,tristate,D16,left,
24,tristate,D17,left,
25,power_in,VDD,left,
26,tristate,D18,left,
27,tristate,D19,left,
28,tristate,D20,left,
29,tristate,D21,left,
30,tristate,D22,left,
31,tristate,D23,left,
32,output,HOLD,left,
33,output,~{BS16},left,
34,tristate,D24,left,
35,tristate,D25,left,
36,tristate,D26,left,
37,tristate,D27,left,
38,gnd,VSS,left,
39,tristate,D28,left,
40,tristate,D29,left,
41,output,SMOUT0,left,
42,tristate,D30,left,
43,power_in,VDD,left,
44,tristate,D31,left,
45,tristate,PD3,left,
46,tristate,SD8,left,
47,tristate,SD9,left,
48,tristate,SD10,left,
49,tristate,SD11,left,
50,tristate,SD12,left,
51,tristate,SD13,left,
52,tristate,SD14,left,
53,tristate,SD15,bottom,
54,tristate,PD1,bottom,
55,tristate,SPK,bottom,
56,output,~{A20M},bottom,
57,tristate,A4,bottom,
58,output,SMOUT1/~{SMOUTW},bottom,
59,tristate,A5,bottom,
60,gnd,VSS,bottom,
61,power_in,VDD,bottom,
62,tristate,A6,bottom,
63,tristate,A7,bottom,
64,tristate,A8,bottom,
65,tristate,A9,bottom,
66,tristate,A10,bottom,
67,tristate,A11,bottom,
68,tristate,A12,bottom,
69,tristate,A13,bottom,
70,tristate,A14,bottom,
71,tristate,A15,bottom,
72,tristate,A16,bottom,
73,tristate,A17,bottom,
74,tristate,A18,bottom,
75,tristate,A19,bottom,
76,gnd,VSS,bottom,
77,tristate,A20,bottom,
78,tristate,A21,bottom,
79,tristate,A22,bottom,
80,tristate,A23,bottom,
81,tristate,A24,bottom,
82,tristate,A25,bottom,
83,tristate,A26,bottom,
84,input,~{SMIACT},bottom,
85,output,~{KEN},bottom,
86,output,~{EADS},bottom,
87,output,~{KBROMCS},bottom,
88,tristate,A27,bottom,
89,tristate,A31,bottom,
90,input,~{HITM},bottom,
91,output,RSTCPU,bottom,
92,gnd,VSS,bottom,
93,output,~{SMI},bottom,
94,output,~{STPCLK},bottom,
95,input,HLDA,bottom,
96,gnd,VSS,bottom,
97,power_in,VDD,bottom,
98,input,XFCLK,bottom,
99,output,~{IGNNE},bottom,
100,input,~{FERR},bottom,
101,output,~{NMI,bottom,
102,output,~{INIT,bottom,
103,tristate,~{ADS},bottom,
104,tristate,~{W/R},bottom,
105,input,D/~{C},right,
106,tristate,M/~{IO},right,
107,tristate,~{BLAST},right,
108,tristate,~{BE3},right,
109,tristate,~{BE2},right,
110,tristate,~{BE1},right,
111,tristate,~{BE0},right,
112,tristate,~{BRDY},right,
113,input,PWRGD,right,
114,power_in,VDD,right,
115,tristate,~{CPURDY},right,
116,output,~{RAS4}/SMOUT2,right,
117,tristate,A3,right,
118,input,PCD,right,
119,gnd,VSS,right,
120,tristate,A2,right,
121,input,~{LOCK},right,
122,input,~{LBD},right,
123,input,~{LRDY},right,
124,tristate,TA7{IRQ15},right,
125,tristate,TA6{IRQ14},right,
126,tristate,TA5{IRQ12},right,
127,tristate,TA4{IRQ7},right,
128,tristate,TA3{IRQ3},right,
129,tristate,TA2{DRQ7},right,
130,tristate,TA1{DRQ6},right,
131,tristate,TA0{DRQ5},right,
132,output,~{TAWE}{WIRQ},right,
133,tristate,~{RAS6}/ALT{DTURBO},right,
134,tristate,~{RAS7}/ALTWE}{RC}},right,
135,output,~{MWE},right,
136,tristate,~{MRE}~{{IOCHK}}},right,
137,output,~{RAS5}/SMOUT3,right,
138,output,~{RAS3}/MA11,right,
139,output,~{RAS2},right,
140,output,~{RAS1},right,
141,output,~{RAS0},right,
142,gnd,VSS,right,
143,output,~{KREX}~{{RAS4}},right,
144,output,~{KREY}~{{RAS5}},right,
145,output,~{KWEX}~{{RAS6}},right,
146,output,~{KWEY}{RAS7}},right,
147,power_in,VDD,right,
148,tristate,~{KCE3}{DRQ0},right,
149,tristate,~{KCE2}{DRQ1},right,
150,tristate,~{KCE1}{DRQ2},right,
151,tristate,~{KCE0}{DRQ3},right,
152,output,~{CAS3},right,
153,output,~{CAS2},right,
154,output,~{CAS1},right,
155,gnd,VSS,right,
156,output,~{CAS0},right,
157,tristate,KA3X/KA3{IRQ4},top,
158,tristate,KA3Y/KA2{IRQ1},top,
159,output,MA10,top,
160,output,MA9,top,
161,output,MA8,top,
162,output,MA7,top,
163,output,MA6,top,
164,gnd,VSS,top,
165,power_in,VDD,top,
166,output,MA5,top,
167,output,MA4,top,
168,output,MA3,top,
169,output,MA2,top,
170,output,MA1,top,
171,output,MA0,top,
172,output,INTR,top,
173,input,~{ZWS},top,
174,tristate,IORDY,top,
175,tristate,MPXS2{IRQ11},top,
176,tristate,MPXS1/~{RAS6}{IRQ10},top,
177,tristate,MPXS0/~{RAS7}{IRQ9},top,
178,input,MPXI2{IRQ8},top,
179,input,MPXI1{IRQ6},top,
