U,FPU_80387sx,80387sx,,,
pin,type,name,side,hidden,style
1,nc,NC,,y,
2,bidirectional,D07,left,,
3,bidirectional,D06,left,,
4,power_in,VCC,top,,
5,gnd,GND,bottom,,
6,bidirectional,D05,left,,
7,bidirectional,D04,left,,
8,bidirectional,D03,left,,
9,power_in,VCC,top,,
10,nc,NC,,y,
11,bidirectional,D15,left,,
12,bidirectional,D14,left,,
13,power_in,VCC,top,,
14,gnd,GND,bottom,,
15,bidirectional,D13,left,,
16,bidirectional,D12,left,,
17,nc,NC,,y,
18,nc,NC,,y,
19,bidirectional,D00,left,,
20,bidirectional,D01,left,,
21,gnd,GND,bottom,,
22,power_in,VCC,top,,
23,bidirectional,D02,left,,
24,bidirectional,D08,left,,
25,gnd,GND,bottom,,
26,power_in,VCC,top,,
27,gnd,GND,bottom,,
28,bidirectional,D09,left,,
29,bidirectional,D10,left,,
30,bidirectional,D11,left,,
31,power_in,VCC,top,,
32,gnd,GND,bottom,,
33,power_in,VCC,top,,
34,gnd,GND,bottom,,
35,output,ERROR,left,,
36,output,/BUSY,left,,
37,power_in,VCC,top,,
38,gnd,GND,bottom,,
39,power_in,TIE_HIGH,bottom,,
40,output,STEN,left,,
41,input,W/R,left,,
42,gnd,GND,bottom,,
43,power_in,VCC,top,,
44,input,NPS1,left,,
45,input,NPS2,left,,
46,power_in,VCC,top,,
47,input,/ADS,left,,
48,input,/CMD0,left,,
49,output,/READY,right,,
50,power_in,TIE_HIGH,right,,
51,input,RESETIN,right,,
52,nc,NC,,y,
53,nc,NC,,y,
54,input,CLK2,right,,
55,gnd,GND,right,,
56,input,PEREQ,right,,
57,output,/RDY0,right,,
58,power_in,VCC,right,,
59,input,CKM,top,,
60,gnd,GND,bottom,,
61,gnd,GND,bottom,,
62,power_in,VCC,top,,
63,gnd,GND,bottom,,
64,power_in,VCC,top,,
65,nc,NC,,y,
66,gnd,GND,bottom,,
67,nc,NC,,y,
68,nc,NC,,y,
