IS61SP6464,U,Package_QFP:LQFP-128_14x20_P0.5mm,64 bit x 64K PBSRAM,
,,,,
pin,type,name,side,hidden
66,tristate,DQ0,right,
67,tristate,DQ1,right,
68,tristate,DQ2,right,
69,tristate,DQ3,right,
70,tristate,DQ4,right,
71,tristate,DQ5,right,
72,tristate,DQ6,right,
73,tristate,DQ7,right,
74,tristate,DQ8,right,
75,tristate,DQ9,right,
76,tristate,DQ10,right,
79,tristate,DQ11,right,
80,tristate,DQ12,right,
81,tristate,DQ13,right,
82,tristate,DQ14,right,
83,tristate,DQ15,right,
84,tristate,DQ16,right,
85,tristate,DQ17,right,
86,tristate,DQ18,right,
87,tristate,DQ19,right,
88,tristate,DQ20,right,
91,tristate,DQ21,right,
92,tristate,DQ22,right,
93,tristate,DQ23,right,
94,tristate,DQ24,right,
95,tristate,DQ25,right,
96,tristate,DQ26,right,
97,tristate,DQ27,right,
98,tristate,DQ28,right,
99,tristate,DQ29,right,
100,tristate,DQ30,right,
101,tristate,DQ31,right,
2,tristate,DQ32,right,
3,tristate,DQ33,right,
4,tristate,DQ34,right,
5,tristate,DQ35,right,
6,tristate,DQ36,right,
7,tristate,DQ37,right,
8,tristate,DQ38,right,
9,tristate,DQ39,right,
10,tristate,DQ40,right,
11,tristate,DQ41,right,
12,tristate,DQ42,right,
15,tristate,DQ43,right,
16,tristate,DQ44,right,
17,tristate,DQ45,right,
18,tristate,DQ46,right,
19,tristate,DQ47,right,
20,tristate,DQ48,right,
21,tristate,DQ49,right,
22,tristate,DQ50,right,
23,tristate,DQ51,right,
24,tristate,DQ52,right,
27,tristate,DQ53,right,
28,tristate,DQ54,right,
29,tristate,DQ55,right,
30,tristate,DQ56,right,
31,tristate,DQ57,right,
32,tristate,DQ58,right,
33,tristate,DQ59,right,
34,tristate,DQ60,right,
35,tristate,DQ61,right,
36,tristate,DQ62,right,
37,tristate,DQ63,right,
106,input,~{ADSC},left,
105,input,~{ADSP},left,
104,input,~{ADV},left,
107,input,~{BW1},left,
108,input,~{BW2},left,
111,input,~{BW3},left,
112,input,~{BW4},left,
117,input,~{BW5},left,
118,input,~{BW6},left,
119,input,~{BW7),left,
120,input,~{BW8),left,
114,input,~{BWE},left,
121,input,~{CE},left,
124,input,~{CE2},left,
125,input,~{CE3},left,
113,input,~{GW},left,
116,input,~{OE),left,
62,input,A0,left,
61,input,A1,left,
49,input,A10,left,
48,input,A11,left,
47,input,A12,left,
44,input,A13,left,
43,input,A14,left,
42,input,A15,left,
60,input,A2,left,
57,input,A3,left,
56,input,A4,left,
55,input,A5,left,
54,input,A6,left,
53,input,A7,left,
51,input,A8,left,
50,input,A9,left,
126,input,CE2,left,
127,input,CE3,left,
115,input,CLK,left,
46,gnd,GND,bottom,
59,gnd,GND,bottom,
110,gnd,GND,bottom,
123,gnd,GND,bottom,
1,gnd,GNDQ,bottom,
14,gnd,GNDQ,bottom,
26,gnd,GNDQ,bottom,
39,gnd,GNDQ,bottom,
65,gnd,GNDQ,bottom,
78,gnd,GNDQ,bottom,
90,gnd,GNDQ,bottom,
103,gnd,GNDQ,bottom,
41,input,MODE,left,
40,nc,NC,bottom,
52,nc,NC,bottom,
45,power_in,VCC,top,
58,power_in,VCC,top,
109,power_in,VCC,top,
122,power_in,VCC,top,
13,power_in,VCCQ,top,
25,power_in,VCCQ,top,
38,power_in,VCCQ,top,
64,power_in,VCCQ,top,
77,power_in,VCCQ,top,
89,power_in,VCCQ,top,
102,power_in,VCCQ,top,
128,power_in,VCCQ,top,
63,input,ZZ,top,
